state,stateName,sexTraffickingCrimesReported,forcedLaborCrimesReported,totalCrimes, femalesLabor, malesLabor, otherLabor, femalesSex, malesSex, otherSex,color
AL,ALABAMA,0.679155024,0.267545919,0.946700943,0.185224097,0.102902276,0.226385008,0.617413658,0.041160911,0.329287284,#626262
AK,ALASKA,0.947954585,0.135422084,1.083376668,0.270844167,0,0,0.947954585,0,0,#626263
AZ,ARIZONA,1.405962011,0.175745251,1.698870764,0.073227188,0.117163501,0.161099814,1.200925885,0.175745251,0.029290875,#626264
AR,ARKANSAS,0.973741221,0.201463701,1.208782206,0.134309134,0.067154567,0,0.940163938,0.067154567,0,#626265
CA,CALIFORNIA,1.995155527,0.275898588,2.500969605,0.201814708,0.099630046,0,1.862315467,0.079193113,0.028100782,#626266
CO,COLORADO,0.87967285,0.403183389,1.411141863,0.183265177,0.219918212,0,0.806366779,0.073306071,0,#626267
CT,CONNECTICUT,0.83544841,0.167089682,1.086082933,0.111393121,0.083544841,0,0.751903569,0,0.055696561,#626268
DE,DELAWARE,0.317146862,0.211431242,0.528578104,0.211431242,0,0,0.317146862,0,0,#626269
FL,FLORIDA,1.489793043,0.335450089,2.007767445,0.182524313,0.197323582,0,1.391131252,0.044397806,0.014799269,#626270
GA,GEORGIA,1.478238566,0.254531144,1.869824941,0.088106934,0.186003528,0,1.409710951,0.029368978,0,#626271
HI,HAWAII,1.466887119,0.139703535,1.885997724,0,0.139703535,0,1.466887119,0,0,#626272
ID,IDAHO,0.362553099,0,0.362553099,0,0,0,0.302127582,0.120851033,0,#626273
IL,ILLINOIS,0.715396857,0.19440132,0.94867844,0.093312633,0.093312633,0.015552106,0.653188434,0.023328158,0,#626274
IN,INDIANA,0.483407053,0.196384115,0.800642931,0.105745293,0.090638822,0.151064704,0.468300583,0,0.241703526,#626275
IA,IOWA,0.832293234,0.096033835,1.152406016,0.064022556,0.064022556,0,0.736259399,0.096033835,0,#626276
KS,KANSAS,1.064691698,0.206069361,1.47683042,0.068689787,0.10303468,0,0.961657017,0.068689787,0,#626277
KY,KENTUCKY,1.01692801,0.203385602,1.423699213,0.112992001,0.112992001,0,0.926534409,0.067795201,0.0451968,#626278
LA,LOUISIANA,1.220367549,0.192689613,1.605746775,0.042819914,0.171279656,0,1.091907807,0.042819914,0.042819914,#626279
ME,MAINE,0.526581852,0.150451958,0.752259788,0.150451958,0,0,0.451355873,0,0,#626280
MD,MARYLAND,1.548348171,0.283031386,1.964570797,0.183137956,0.083244525,0,1.44845474,0.03329781,0,#626281
MA,MASSACHUSETTS,0.750615726,0.058871822,0.912513235,0.044153866,0.029435911,0,0.662307993,0.073589777,0,#626282
MI,MICHIGAN,1.229519431,0.181404506,1.531860275,0.090702253,0.100780281,0,1.078349009,0.060468169,0,#626283
MN,MINNESOTA,0.491839652,0.145730267,0.655786202,0.091081417,0.072865134,0,0.455407085,0.036432567,0,#626284
MS,MISSISSIPPI,0.868887253,0.167093702,1.203074658,0.066837481,0.100256221,0,0.802049772,0.066837481,0,#626285
MO,MISSOURI,0.953371582,0.065749764,1.101308552,0.065749764,0.032874882,0,0.887621818,0.049312323,0,#626286
MT,MONTANA,1.064912208,0.484051003,1.839393813,0.193620401,0.290430602,0,1.064912208,0.193620401,0,#626287
NE,NEBRASKA,0.738322636,0.369161318,1.265695948,0.105474662,0.263686656,0,0.738322636,0,0,#626288
NV,NEVADA,3.943483653,0.380511581,4.600730928,0.172959809,0.242143733,0,3.70133992,0.207551771,0,#626289
NH,NEW HAMPSHIRE,0.601228912,0.225460842,0.901843368,0.150307228,0.150307228,0,0.526075298,0.150307228,0,#626290
NJ,NEW JERSEY,1.551683392,0.145121468,1.886579088,0.089305519,0.066979139,0,1.440051494,0.03348957,0,#626291
NM,NEW MEXICO,1.055100717,0.239795617,1.342855457,0.14387737,0.191836494,0,0.767345976,0.191836494,0,#626292
NY,NEW YORK,1.09619262,0.197011577,1.419493669,0.131341051,0.075773683,0,1.0052642,0.020206316,0,#626293
NC,NORTH CAROLINA,0.776675673,0.219062369,1.095311846,0.109531185,0.129445945,0,0.697016629,0.039829522,0,#626294
ND,NORTH DAKOTA,1.981697046,0.528452546,2.510149592,0.396339409,0.264226273,0,1.981697046,0,0,#626295
OH,OHIO,2.00629909,0.154993063,2.48849973,0.103328709,0.051664354,0,1.877138205,0.068885806,0.017221451,#626296
OK,OKLAHOMA,0.715867562,0.230100288,1.073801344,0.127833493,0.153400192,0,0.690300864,0.051133397,0,#626297
OR,OREGON,1.092088637,0.19856157,1.389930992,0.173741374,0.049640393,0,1.042448244,0,0.049640393,#626298
PA,PENNSYLVANIA,0.624877807,0.117164589,0.827963094,0.070298753,0.054676808,0,0.531146136,0.03124389,0.015621945,#626299
RI,RHODE ISLAND,0.47335127,0.094670254,0.757362032,0.189340508,0,0,0.47335127,0,0,#626300
SC,SOUTH CAROLINA,0.857817557,0.285939186,1.24587788,0.122545365,0.224666503,0,0.796544874,0.061272683,0,#626301
SD,SOUTH DAKOTA,1.048377985,0.582432214,1.747296641,0.465945771,0.232972885,0,1.048377985,0,0,#626302
TN,TENNESSEE,0.802993925,0.181809945,1.045407185,0.090904973,0.106055801,0,0.772692267,0.045452486,0.030301658,#626303
TX,TEXAS,1.226832434,0.229348497,1.576315858,0.116494474,0.123775379,0,1.135821126,0.040044976,0.007280905,#626304
UT,UTAH,0.500681093,0.100136219,0.73433227,0.100136219,0,0,0.467302354,0,0,#626305
VT,VERMONT,0.479201076,0.159733692,0.79866846,0,0.319467384,0,0.479201076,0,0,#626306
VA,VIRGINIA,0.083502396,0.011928914,0.119289137,0.023857827,0,0,0.083502396,0,0,#626307
WA,WASHINGTON,1.199383405,0.181302143,1.548041372,0.111570549,0.055785275,0.027892637,1.129651812,0.069731593,0,#626308
WV,WEST VIRGINIA,0.379583196,0.054226171,0.542261709,0.108452342,0,0,0.379583196,0,0,#626309
WI,WISCONSIN,0.779715342,0.051981023,0.866350379,0.034654015,0,0,0.745061326,0,0,#626310
WY,WYOMING,0.17061731,0.682469242,1.023703863,0.511851931,0,0,0.341234621,0,0,#626311
